1995,FALSE,1995,1,0,邱仁宗
1987,TRUE,2015,15,5,邱泽奇
1999,FALSE,2015,7,0,渠敬东
2007,FALSE,2007,1,0,饶静
2014,FALSE,2014,1,0,任锋
2008,FALSE,2012,2,0,任敏
1998,FALSE,2006,2,0,任焰
1998,FALSE,1998,1,0,任远
1996,FALSE,1996,1,0,汝信
1999,TRUE,2004,3,1,阮丹青
2008,FALSE,2008,1,0,阮横俯
2011,TRUE,2013,3,1,阮荣平
1986,TRUE,2007,4,1,沙莲香
1996,FALSE,1997,2,0,尚会鹏
2005,FALSE,2005,1,0,申静
1986,FALSE,1990,3,0,沈崇麟
2006,FALSE,2014,2,0,沈关宝
1995,FALSE,1995,1,0,沈杰
2008,TRUE,2013,2,1,沈毅
2006,FALSE,2008,6,0,沈原
1991,FALSE,1991,1,0,盛少波
2006,FALSE,2014,4,0,施芸卿
2006,FALSE,2006,1,0,石丹理
2010,FALSE,2010,1,0,石发勇
2009,TRUE,2011,2,1,石金群
1995,FALSE,1995,1,0,石人炳
1988,FALSE,1998,5,0,石秀印
1996,FALSE,1996,1,0,史柏年
2008,FALSE,2009,2,0,史晋川
1990,FALSE,1994,2,0,宋宝安
2010,FALSE,2010,1,0,宋婧
1995,TRUE,2007,3,1,宋林飞
1998,TRUE,2005,2,1,宋时歌
2006,FALSE,2006,1,0,宋祥秀
2004,FALSE,2011,5,0,苏国勋
2002,FALSE,2007,3,0,苏红
1998,FALSE,2003,3,0,苏力
1987,FALSE,1997,5,0,孙炳耀
2005,FALSE,2015,8,0,孙飞宇
2004,TRUE,2009,2,1,孙健敏
1990,FALSE,1990,1,0,孙金楼
1986,TRUE,2011,17,1,孙立平
2009,TRUE,2011,2,2,孙明
2008,FALSE,2008,1,0,孙帅
2007,TRUE,2007,1,1,孙昕
2008,TRUE,2011,4,3,孙秀林
2011,TRUE,2012,2,2,孙妍
1995,FALSE,1995,1,0,孙治本
2011,TRUE,2014,3,2,孙中伟
2013,FALSE,2013,1,0,覃琮
1998,TRUE,2003,3,1,覃方明
1994,FALSE,1994,1,0,谭秋成
1987,FALSE,2004,16,0,谭深
2008,FALSE,2008,1,0,汤艳文
1996,TRUE,2011,5,1,唐灿
1991,FALSE,2004,6,0,唐军
1990,FALSE,2001,6,0,唐钧
1992,FALSE,1992,1,0,唐力行
2000,FALSE,2007,3,0,陶传进
1994,FALSE,1994,1,0,陶春芳
2007,TRUE,2010,2,2,陶然
1987,FALSE,1987,1,0,陶铁柱
1988,FALSE,1988,1,0,陶冶
2010,FALSE,2012,4,0,田丰
2005,FALSE,2006,3,0,田耕
1994,FALSE,1994,1,0,田禾
1998,FALSE,2004,3,0,田凯
2009,FALSE,2009,1,0,田青
2012,FALSE,2012,1,0,田先红
2006,FALSE,2012,2,0,田毅鹏
1993,TRUE,2015,9,1,佟新
2012,TRUE,2013,2,2,童梅
2006,FALSE,2006,1,0,童敏
1994,TRUE,2006,4,1,童星
1994,FALSE,2015,2,0,万向东
1998,TRUE,2004,4,1,汪丁丁
1988,FALSE,2009,8,0,汪和建
2011,FALSE,2014,3,0,汪建华
2013,FALSE,2013,1,0,汪新建
2011,TRUE,2011,1,1,王兵
1992,FALSE,2004,4,0,王处辉
2000,FALSE,2013,6,0,王春光
2006,TRUE,2006,1,1,王春兰
